Date,team1,team2
2019-05-27,COL,ARI
2019-05-27,SEA,TEX
2019-05-27,PIT,CIN
2019-05-27,PIT,CIN
2019-05-27,KCR,CHW
2019-05-27,DET,BAL
2019-05-28,CHC,HOU
2019-05-28,NYM,LAD
2019-05-28,SDP,NYY
2019-05-28,MIL,MIN
2019-05-28,WSN,ATL
2019-05-28,LAA,OAK
2019-05-28,TOR,TBR
2019-05-28,BOS,CLE
2019-05-28,PHI,STL
2019-05-28,COL,ARI
2019-05-28,SEA,TEX
2019-05-28,MIA,SFG
2019-05-28,PIT,CIN
2019-05-28,KCR,CHW
2019-05-28,DET,BAL
2019-05-29,CHC,HOU
2019-05-29,NYM,LAD
2019-05-29,SDP,NYY
2019-05-29,WSN,ATL
2019-05-29,LAA,OAK
2019-05-29,TOR,TBR
2019-05-29,BOS,CLE
2019-05-29,PHI,STL
2019-05-29,COL,ARI
2019-05-29,SEA,TEX
2019-05-29,MIA,SFG
2019-05-29,PIT,CIN
2019-05-29,KCR,CHW
2019-05-29,DET,BAL
2019-05-30,NYM,LAD
2019-05-30,TBR,MIN
2019-05-30,CHW,CLE
2019-05-30,PHI,STL
2019-05-30,PIT,MIL
2019-05-30,COL,ARI
2019-05-30,KCR,TEX
2019-05-30,MIA,SFG
2019-05-30,SEA,LAA
2019-05-31,OAK,HOU
2019-05-31,PHI,LAD
2019-05-31,BOS,NYY
2019-05-31,TBR,MIN
2019-05-31,DET,ATL
2019-05-31,CHW,CLE
2019-05-31,CIN,WSN
2019-05-31,CHC,STL
2019-05-31,PIT,MIL
2019-05-31,ARI,NYM
2019-05-31,KCR,TEX
2019-05-31,BAL,SFG
2019-05-31,SEA,LAA
2019-05-31,TOR,COL
2019-05-31,MIA,SDP
2019-06-01,OAK,HOU
2019-06-01,PHI,LAD
2019-06-01,BOS,NYY
2019-06-01,TBR,MIN
2019-06-01,DET,ATL
2019-06-01,CHW,CLE
2019-06-01,CIN,WSN
2019-06-01,CHC,STL
2019-06-01,PIT,MIL
2019-06-01,ARI,NYM
2019-06-01,KCR,TEX
2019-06-01,BAL,SFG
2019-06-01,SEA,LAA
2019-06-01,TOR,COL
2019-06-01,MIA,SDP
2019-06-02,OAK,HOU
2019-06-02,PHI,LAD
2019-06-02,BOS,NYY
2019-06-02,TBR,MIN
2019-06-02,DET,ATL
2019-06-02,CHW,CLE
2019-06-02,CIN,WSN
2019-06-02,CHC,STL
2019-06-02,PIT,MIL
2019-06-02,ARI,NYM
2019-06-02,KCR,TEX
2019-06-02,BAL,SFG
2019-06-02,SEA,LAA
2019-06-02,TOR,COL
2019-06-02,MIA,SDP
2019-06-03,SEA,HOU
2019-06-03,ARI,LAD
2019-06-03,LAA,CHC
2019-06-03,SDP,PHI
2019-06-04,SEA,HOU
2019-06-04,ARI,LAD
2019-06-04,TOR,NYY
2019-06-04,CLE,MIN
2019-06-04,PIT,ATL
2019-06-04,LAA,OAK
2019-06-04,DET,TBR
2019-06-04,CHW,WSN
2019-06-04,CIN,STL
2019-06-04,MIA,MIL
2019-06-04,SFG,NYM
2019-06-04,KCR,BOS
2019-06-04,COL,CHC
2019-06-04,SDP,PHI
2019-06-04,BAL,TEX
2019-06-05,SEA,HOU
2019-06-05,ARI,LAD
2019-06-05,TOR,NYY
2019-06-05,CLE,MIN
2019-06-05,PIT,ATL
2019-06-05,LAA,OAK
2019-06-05,DET,TBR
2019-06-05,CHW,WSN
2019-06-05,MIA,MIL
2019-06-05,SFG,NYM
2019-06-05,KCR,BOS
2019-06-05,COL,CHC
2019-06-05,SDP,PHI
2019-06-05,BAL,TEX
2019-06-06,SEA,HOU
2019-06-06,TOR,NYY
2019-06-06,CLE,MIN
2019-06-06,PIT,ATL
2019-06-06,LAA,OAK
2019-06-06,DET,TBR
2019-06-06,SDP,WSN
2019-06-06,CIN,STL
2019-06-06,MIA,MIL
2019-06-06,SFG,NYM
2019-06-06,KCR,BOS
2019-06-06,COL,CHC
2019-06-06,BAL,TEX
2019-06-07,BAL,HOU
2019-06-07,SFG,LAD
2019-06-07,CLE,NYY
2019-06-07,DET,MIN
2019-06-07,MIA,ATL
2019-06-07,TEX,OAK
2019-06-07,BOS,TBR
2019-06-07,SDP,WSN
2019-06-07,CHC,STL
2019-06-07,PIT,MIL
2019-06-07,COL,NYM
2019-06-07,TOR,ARI
2019-06-07,CIN,PHI
2019-06-07,KCR,CHW
2019-06-07,SEA,LAA
2019-06-08,BAL,HOU
2019-06-08,SFG,LAD
2019-06-08,CLE,NYY
2019-06-08,DET,MIN
2019-06-08,MIA,ATL
2019-06-08,TEX,OAK
2019-06-08,TEX,OAK
2019-06-08,BOS,TBR
2019-06-08,BOS,TBR
2019-06-08,SDP,WSN
2019-06-08,CHC,STL
2019-06-08,PIT,MIL
2019-06-08,COL,NYM
2019-06-08,TOR,ARI
2019-06-08,CIN,PHI
2019-06-08,KCR,CHW
2019-06-08,SEA,LAA
2019-06-09,BAL,HOU
2019-06-09,SFG,LAD
2019-06-09,CLE,NYY
2019-06-09,DET,MIN
2019-06-09,MIA,ATL
2019-06-09,TEX,OAK
2019-06-09,BOS,TBR
2019-06-09,SDP,WSN
