Date,team1,team2,winners,team1wins,team2wins,ties
2019-05-07,BAL,BOS,BOS,3330,5456,1214
2019-05-07,MIA,CHC,CHC,2451,6493,1056
2019-05-07,PIT,TEX,TEX,3761,5149,1090
2019-05-07,COL,SFG,COL,4866,3735,1399
2019-05-07,DET,LAA,LAA,3879,4726,1395
2019-05-08,KCR,HOU,HOU,3818,5016,1166
2019-05-08,ATL,LAD,LAD,3701,5058,1241
2019-05-08,SEA,NYY,NYY,3728,4982,1290
2019-05-08,TOR,MIN,MIN,3463,5289,1248
2019-05-08,CIN,OAK,CIN,4838,3998,1164
2019-05-08,ARI,TBR,TBR,3508,5242,1250
2019-05-08,CHW,CLE,CLE,4126,4557,1317
2019-05-08,MIL,WSN,MIL,4710,4058,1232
2019-05-08,PHI,STL,PHI,4589,4126,1285
2019-05-08,SDP,NYM,SDP,4903,3797,1300
2019-05-08,BAL,BOS,BOS,3202,5529,1269
2019-05-08,MIA,CHC,CHC,2362,6658,980
2019-05-08,PIT,TEX,TEX,3745,5113,1142
2019-05-08,DET,LAA,LAA,3783,4803,1414
2019-05-09,TEX,HOU,HOU,4008,4848,1144
2019-05-09,WSN,LAD,LAD,3291,5546,1163
2019-05-09,SEA,NYY,NYY,3952,4797,1251
2019-05-09,ARI,ATL,ARI,4649,4086,1265
2019-05-09,CIN,OAK,CIN,4709,4089,1202
2019-05-09,CHW,CLE,CLE,4050,4551,1399
2019-05-09,PIT,STL,STL,3511,5117,1372
2019-05-09,MIA,CHC,CHC,2465,6547,988
2019-05-09,COL,SFG,COL,4456,4261,1283
