attendance,boxscore_index,date,datetime,game_number_for_day,day_or_night,game,game_duration,games_behind,innings,location,loser,opponent_abbr,rank,record,result,runs_allowed,runs_scored,save,streak,winner,home,road,home_team_runs,road_team_runs,team,cum_runs_scored,cum_runs_allowed,ytd_rd,winning_team,league_home_team_runs
,BAL/BAL202009150,"Tuesday, Sep 15",2020-09-15,1,Night,49,2:57,-3.5,9,Away,Eshelman,BAL,1,29-20,Win,1,5,,+,O'Day,BAL,ATL,1,5,Atlanta Braves,285,237,0.9795918367346939,ATL,
,BAL/BAL202009160,"Wednesday, Sep 16",2020-09-16,1,Night,50,2:35,-2.5,9,Away,Hamels,BAL,1,29-21,Loss,5,1,,-,Akin,BAL,ATL,5,1,Atlanta Braves,286,242,0.88,BAL,
,NYN/NYN202009180,"Friday, Sep 18",2020-09-18,1,Night,51,3:39,-3.5,9,Away,Matz,NYM,1,30-21,Win,2,15,,+,Fried,NYM,ATL,2,15,Atlanta Braves,301,244,1.1176470588235294,ATL,
,NYN/NYN202009190,"Saturday, Sep 19",2020-09-19,1,Night,52,3:32,-2.5,9,Away,Anderson,NYM,1,30-22,Loss,7,2,,-,Peterson,NYM,ATL,7,2,Atlanta Braves,303,251,1.0,NYM,
,NYN/NYN202009200,"Sunday, Sep 20",2020-09-20,1,Day,53,3:09,-3.0,9,Away,Porcello,NYM,1,31-22,Win,0,7,,+,Wright,NYM,ATL,0,7,Atlanta Braves,310,251,1.1132075471698113,ATL,
,CHN/CHN202007240,"Friday, Jul 24",2020-07-24,1,Night,1,2:30,0.0,9,Home,Woodruff,MIL,1,1-0,Win,0,3,,+,Hendricks,CHC,MIL,3,0,Chicago Cubs,3,0,3.0,CHC,
,CHN/CHN202007250,"Saturday, Jul 25",2020-07-25,1,Day,2,3:36,1.0,9,Home,Darvish,MIL,2,1-1,Loss,8,3,,-,Suter,CHC,MIL,3,8,Chicago Cubs,6,8,-1.0,MIL,
,CHN/CHN202007260,"Sunday, Jul 26",2020-07-26,1,Day,3,3:04,0.0,9,Home,Peralta,MIL,1,2-1,Win,1,9,,+,Chatwood,CHC,MIL,9,1,Chicago Cubs,15,9,2.0,CHC,
,CIN/CIN202007270,"Monday, Jul 27",2020-07-27,1,Night,4,3:46,-0.5,9,Away,Miley,CIN,1,3-1,Win,7,8,Jeffress,++,Lester,CIN,CHC,7,8,Chicago Cubs,23,16,1.75,CHC,
,CIN/CIN202007280,"Tuesday, Jul 28",2020-07-28,1,Night,5,3:02,-1.5,9,Away,Reed,CIN,1,4-1,Win,5,8,,+++,Mills,CIN,CHC,5,8,Chicago Cubs,31,21,2.0,CHC,
,CIN/CIN202007290,"Wednesday, Jul 29",2020-07-29,1,Night,6,3:23,-1.0,9,Away,Hendricks,CIN,1,4-2,Loss,12,7,,-,Gray,CIN,CHC,12,7,Chicago Cubs,38,33,0.8333333333333334,CIN,
,CHN/CHN202007310,"Friday, Jul 31",2020-07-31,1,Night,7,3:46,-1.5,9,Home,Williams,PIT,1,5-2,Win,3,6,,+,Darvish,CHC,PIT,6,3,Chicago Cubs,44,36,1.1428571428571428,CHC,
,CHN/CHN202008010,"Saturday, Aug 1",2020-08-01,1,Night,8,3:11,-2.0,9,Home,Keller,PIT,1,6-2,Win,3,4,Wick,++,Chatwood,CHC,PIT,4,3,Chicago Cubs,48,39,1.125,CHC,
,CHN/CHN202008020,"Sunday, Aug 2",2020-08-02,1,Day,9,3:37,-2.5,11,Home,Ponce,PIT,1,7-2,Loss,1,2,,+++,Jeffress,CHC,PIT,2,1,Chicago Cubs,50,40,1.1111111111111112,PIT,
,CHN/CHN202008030,"Monday, Aug 3",2020-08-03,1,Night,10,2:43,-3.0,9,Home,Duffy,KCR,1,8-2,Win,0,2,Wick,++++,Mills,CHC,KCR,2,0,Chicago Cubs,52,40,1.2,CHC,
,CHN/CHN202008040,"Tuesday, Aug 4",2020-08-04,1,Night,11,2:51,-4.0,9,Home,Singer,KCR,1,9-2,Win,4,5,Ryan,+++++,Hendricks,CHC,KCR,5,4,Chicago Cubs,57,44,1.1818181818181819,CHC,
,KCA/KCA202008050,"Wednesday, Aug 5",2020-08-05,1,Night,12,3:09,-4.5,9,Away,Bubic,KCR,1,10-2,Win,1,6,,++++++,Darvish,KCR,CHC,1,6,Chicago Cubs,63,45,1.5,CHC,
,KCA/KCA202008060,"Thursday, Aug 6",2020-08-06,1,Night,13,3:02,-3.5,9,Away,Chatwood,KCR,1,10-3,Loss,13,2,,-,Keller,KCR,CHC,13,2,Chicago Cubs,65,58,0.5384615384615384,KCR,
,CLE/CLE202008110,"Tuesday, Aug 11",2020-08-11,1,Night,14,3:14,-4.5,9,Away,Plutko,CLE,1,11-3,Win,1,7,,+,Lester,CLE,CHC,1,7,Chicago Cubs,72,59,0.9285714285714286,CHC,
,CLE/CLE202008120,"Wednesday, Aug 12",2020-08-12,1,Night,15,3:32,-5.0,9,Away,Carrasco,CLE,1,12-3,Win,2,7,,++,Hendricks,CLE,CHC,2,7,Chicago Cubs,79,61,1.2,CHC,
,CHN/CHN202008130,"Thursday, Aug 13",2020-08-13,1,Night,16,3:06,-5.5,9,Home,Anderson,MIL,1,13-3,Win,2,4,Wick,+++,Darvish,CHC,MIL,4,2,Chicago Cubs,83,63,1.25,CHC,
,CHN/CHN202008140,"Friday, Aug 14",2020-08-14,1,Night,17,3:13,-5.0,9,Home,Mills,MIL,1,13-4,Loss,4,3,Hader,-,Peralta,CHC,MIL,3,4,Chicago Cubs,86,67,1.1176470588235294,MIL,
,CHN/CHN202008150,"Saturday, Aug 15",2020-08-15,1,Day,18,3:24,-3.5,10,Home,Jeffress,MIL,1,13-5,Loss,6,5,Claudio,--,Phelps,CHC,MIL,5,6,Chicago Cubs,91,73,1.0,MIL,
