attendance,boxscore_index,date,datetime,game_number_for_day,day_or_night,game,game_duration,games_behind,innings,location,loser,opponent_abbr,rank,record,result,runs_allowed,runs_scored,save,streak,winner,team
27774,CIN/CIN201909260,"Thursday, Sep 26",2019-09-26,1,Day,159,2:50,17.0,9,Home,Castillo,MIL,4,73-86,Loss,5,3,Hader,----,Anderson,CIN
18544,PIT/PIT201909270,"Friday, Sep 27",2019-09-27,1,Night,160,3:13,17.0,9,Away,Iglesias,PIT,4,73-87,Loss,6,5,,-----,Rios,CIN
21084,PIT/PIT201909280,"Saturday, Sep 28",2019-09-28,1,Night,161,4:27,16.0,12,Away,McRae,PIT,4,74-87,Win,2,4,,+,Alaniz,CIN
23617,PIT/PIT201909290,"Sunday, Sep 29",2019-09-29,1,Day,162,2:43,16.0,9,Away,Williams,PIT,4,75-87,Win,1,3,Lorenzen,++,Mahle,CIN
31675,KCA/KCA201903280,"Thursday, Mar 28",2019-03-28,1,Night,1,3:12,1.0,9,Away,Rodon,KCR,4,0-1,Loss,5,3,Boxberger,-,Keller,CHW
13533,KCA/KCA201903300,"Saturday, Mar 30",2019-03-30,1,Day,2,3:16,2.0,9,Away,Lopez,KCR,5,0-2,Loss,8,6,Kennedy,--,Junis,CHW
12669,KCA/KCA201903310,"Sunday, Mar 31",2019-03-31,1,Day,3,2:57,1.0,9,Away,Lopez,KCR,4,1-2,Win,3,6,Colome,+,Giolito,CHW
34519,CLE/CLE201904010,"Monday, Apr 1",2019-04-01,1,Day,4,3:02,1.5,9,Away,Covey,CLE,5,1-3,Loss,5,3,Hand,-,Edwards,CHW
10689,CLE/CLE201904030,"Wednesday, Apr 3",2019-04-03,1,Day,5,3:01,2.0,9,Away,Kluber,CLE,3,2-3,Win,3,8,,+,Rodon,CHW
32723,CHA/CHA201904050,"Friday, Apr 5",2019-04-05,1,Day,6,3:36,1.0,9,Home,Gearrin,SEA,4,3-3,Win,8,10,Colome,++,Burr,CHW
31286,CHA/CHA201904060,"Saturday, Apr 6",2019-04-06,1,Day,7,3:31,2.0,9,Home,Giolito,SEA,4,3-4,Loss,9,2,,-,Leake,CHW
12509,CHA/CHA201904070,"Sunday, Apr 7",2019-04-07,1,Day,8,3:49,3.0,9,Home,Nova,SEA,4,3-5,Loss,12,5,,--,LeBlanc,CHW
11734,CHA/CHA201904080,"Monday, Apr 8",2019-04-08,1,Day,9,3:25,3.5,9,Home,Rodon,TBR,4,3-6,Loss,5,1,Wood,---,Snell,CHW
10799,CHA/CHA201904090,"Tuesday, Apr 9",2019-04-09,1,Day,10,3:56,4.0,9,Home,Santana,TBR,4,3-7,Loss,10,5,,----,Morton,CHW
11107,CHA/CHA201904100,"Wednesday, Apr 10",2019-04-10,1,Day,11,3:00,4.5,9,Home,Lopez,TBR,4,3-8,Loss,9,1,Beeks,-----,Glasnow,CHW
40913,NYA/NYA201904120,"Friday, Apr 12",2019-04-12,1,Night,12,2:43,3.5,7,Away,Happ,NYY,4,4-8,Win,6,9,Jones,+,Giolito,CHW
41176,NYA/NYA201904130,"Saturday, Apr 13",2019-04-13,1,Day,13,2:28,4.0,9,Away,Nova,NYY,4,4-9,Loss,4,0,,-,German,CHW
40104,NYA/NYA201904140,"Sunday, Apr 14",2019-04-14,1,Day,14,3:21,4.0,9,Away,Tanaka,NYY,4,5-9,Win,2,5,Colome,+,Rodon,CHW
12553,CHA/CHA201904150,"Monday, Apr 15",2019-04-15,1,Night,15,3:02,3.0,9,Home,Boxberger,KCR,4,6-9,Win,4,5,Colome,++,Banuelos,CHW
13583,CHA/CHA201904160,"Tuesday, Apr 16",2019-04-16,1,Night,16,2:39,2.5,9,Home,Lopez,KCR,4,7-9,Win,1,5,,+++,Lopez,CHW
14358,CHA/CHA201904170,"Wednesday, Apr 17",2019-04-17,1,Day,17,4:04,3.5,10,Home,Jones,KCR,4,7-10,Loss,4,3,Barlow,-,Peralta,CHW
14320,DET/DET201904180,"Thursday, Apr 18",2019-04-18,1,Day,18,3:10,4.0,9,Away,Fulmer,DET,4,7-11,Loss,9,7,Greene,--,VerHagen,CHW
14568,DET/DET201904190,"Friday, Apr 19",2019-04-19,1,Night,19,2:50,3.5,9,Away,Zimmermann,DET,4,8-11,Win,3,7,,+,Rodon,CHW
15686,DET/DET201904210,"Sunday, Apr 21",2019-04-21,1,Day,20,2:49,4.5,9,Away,Lopez,DET,4,8-12,Loss,4,3,Greene,-,Norris,CHW
8555,BAL/BAL201904220,"Monday, Apr 22",2019-04-22,1,Night,21,3:26,4.5,9,Away,Hess,BAL,4,9-12,Win,2,12,,+,Fry,CHW
8953,BAL/BAL201904230,"Tuesday, Apr 23",2019-04-23,1,Night,22,2:56,4.5,9,Away,Nova,BAL,4,9-13,Loss,9,1,,-,Cashner,CHW
10550,BAL/BAL201904240,"Wednesday, Apr 24",2019-04-24,1,Night,23,2:56,4.5,9,Away,Santana,BAL,4,9-14,Loss,4,3,Givens,--,Means,CHW
18016,CHA/CHA201904260,"Friday, Apr 26",2019-04-26,1,Night,24,4:02,4.5,9,Home,Jimenez,DET,4,10-14,Loss,11,12,,+,Colome,CHW
14539,CHA/CHA201904280,"Sunday, Apr 28",2019-04-28,1,Day,25,2:58,5.0,9,Home,Boyd,DET,4,11-14,Win,1,4,Colome,++,Lopez,CHW
14717,CHA/CHA201904290,"Monday, Apr 29",2019-04-29,1,Night,26,3:18,5.0,9,Home,Means,BAL,3,12-14,Win,3,5,Colome,+++,Banuelos,CHW
,CHA/CHA201905011,"Wednesday, May 1 (1)",2019-05-01,1,Day,27,3:48,5.0,9,Home,Herrera,BAL,3,12-15,Loss,5,4,Givens,-,Kline,CHW
14781,CHA/CHA201905012,"Wednesday, May 1 (2)",2019-05-01,2,Night,28,3:22,5.0,9,Home,Phillips,BAL,3,13-15,Loss,6,7,,+,Vieira,CHW
15118,CHA/CHA201905020,"Thursday, May 2",2019-05-02,1,Night,29,3:33,5.0,9,Home,Brasier,BOS,3,14-15,Loss,4,6,,++,Fulmer,CHW
17504,CHA/CHA201905030,"Friday, May 3",2019-05-03,1,Night,30,3:15,5.0,9,Home,Lopez,BOS,4,14-16,Loss,6,1,,-,Sale,CHW
30068,CHA/CHA201905040,"Saturday, May 4",2019-05-04,1,Night,31,3:34,6.0,9,Home,Banuelos,BOS,4,14-17,Loss,15,2,,--,Rodriguez,CHW
36553,CHA/CHA201905050,"Sunday, May 5",2019-05-05,1,Day,32,3:33,6.0,9,Home,Herrera,BOS,4,14-18,Loss,9,2,,---,Workman,CHW
12745,CLE/CLE201905060,"Monday, May 6",2019-05-06,1,Night,33,3:01,6.0,9,Away,Bauer,CLE,4,15-18,Win,1,9,,+,Nova,CHW
12961,CLE/CLE201905070,"Tuesday, May 7",2019-05-07,1,Night,34,2:58,6.0,9,Away,Rodriguez,CLE,3,16-18,Win,0,2,Colome,++,Giolito,CHW
12519,CLE/CLE201905080,"Wednesday, May 8",2019-05-08,1,Night,35,2:50,7.0,9,Away,Fry,CLE,4,16-19,Loss,5,3,,-,Hand,CHW
13247,CLE/CLE201905090,"Thursday, May 9",2019-05-09,1,Day,36,1:45,7.5,5,Away,Banuelos,CLE,4,16-20,Loss,5,0,,--,Carrasco,CHW
20402,TOR/TOR201905100,"Friday, May 10",2019-05-10,1,Night,37,3:08,8.5,9,Away,Covey,TOR,4,16-21,Loss,4,3,Giles,---,Biagini,CHW
24563,TOR/TOR201905110,"Saturday, May 11",2019-05-11,1,Day,38,3:20,8.0,9,Away,Stroman,TOR,4,17-21,Win,2,7,,+,Nova,CHW
24222,TOR/TOR201905120,"Sunday, May 12",2019-05-12,1,Day,39,2:47,7.0,9,Away,Sanchez,TOR,4,18-21,Win,1,5,,++,Giolito,CHW
16471,CHA/CHA201905130,"Monday, May 13",2019-05-13,1,Night,40,2:28,6.0,9,Home,Bieber,CLE,3,19-21,Win,2,5,Colome,+++,Lopez,CHW
18823,CHA/CHA201905140,"Tuesday, May 14",2019-05-14,1,Day,41,3:06,7.0,9,Home,Banuelos,CLE,3,19-22,Loss,9,0,,-,Carrasco,CHW
